full_text,note,language_present,image_name,tweet_id
Trump is actually insane man https://t.co/vvQJbOdBPX,"This post isn't real, it wasn't posted on Truth Social

truthsocial.com/@realDonaldTru…",en,1899553903781277696.jpeg,1899554005811949660
"Keir Starmer first UK PM to join EU meeting since Brexit

Stuffing his face .. is he ever in Britain? https://t.co/3SSkpW9jCo","This is an Artificially Generated of Keir Starmer created with AI. 

sightengine.com/detect-ai-gene…",en,1886415073452650496.jpeg,1886415079735697827
"Top photo is 15,000 more people than the bottom. 
👌 https://t.co/jYpqAedO8A","The bottom photo has nearly 3x as many people as the top photo.

The NFL draft had just over 125k people in attendance in 2025. 

The Indianapolis Motor Speedway typically sees between 300k-350k people in attendance for the Indy 500.

abc3340.com/news/entertain…

forbes.com/sites/brucemar…",en,1915560515654283264.jpeg,1915560521975423096
"#Breaking Air India plane AI171 crashed into Medical College in Ahmedabad - photos from crash site

THE PLANE WAS UNABLE TO KNOCK DOWN DOUBLE STOREY BRICK HOUSE BUT IN NEW YORK (9/11) KNOCKED THE CONCREATE SKYSCREAPER WITH REINFORCED STEEL? 

FUCK OFF!!! https://t.co/o4YwiMbzXu","The Ahmedabad crash involved a low-speed impact on a two-story brick building, while 9/11 jets hit 110-story steel skyscrapers at 500-600 mph. Differences in speed, structure, and fire make the comparison invalid. nist.gov/topics/world-t…",en,1933116733134704640.jpeg,1933117671069094233
Picture is worth a thousand words. https://t.co/EXzPdUkDXr,"This photo was digitally altered to add the ""Latinos for Trump 2024"" logo on the back of the tshirt. The image was originally taken in June 2019 in Salem, Ohio.

foxnews.com/politics/polit…

theguardian.com/us-news/2018/a…

gettyimages.nl/detail/nieuwsf…
(archive.is/B0z6O)",en,1884373308616871936.jpeg,1884373312672829936
This was the Biden-Harris White House last Easter… https://t.co/xQ0IRZgYRQ,"This photo is not from Easter 2024 as the post claims. This photo was taken on June 10, 2023 at a Pride Celebration during Pride Month.

pbs.org/newshour/polit…",en,1914058615742160897.jpeg,1914058622532829371
"@mikenelson586 Wondering how many Brits there were at Omaha Beach?
Or how many British Bombers few daylight raids to Dresden, Germany?
Why is it the USA doing all the heavy lifting every time the USA hooks up with the UK? https://t.co/YOb4ptpgvt","The Americans joined the war right at the end of 1941. The Brits fought from the beginning. In WWI the Americans joined in 1917, the Brits in 1914. The Americans also have a much higher population and economy than the Brits.
loc.gov/classroom-mate….
britannica.com/event/World-Wa…
britannica.com/event/World-Wa…",en,1896958382231199744.jpeg,1896958466876666330
